NAME,Total Enrollment,Total Revenue
AUSTWELL TIVOLI IND SCH DIST 901,140,4317
AUTAUGA COUNTY SCHOOL DISTRICT,9094,88218
AUTRAIN-ONOTA PUBLIC SCHOOLS,38,1050
AVA SCH DIST 1,1359,13635
AVALON IND SCH DIST 901,362,4613
AVALON STONE HARBOR SCH DIST,61,5530
AVANT SCH DIST 35,93,970
AVELLA AREA SCHOOL DIST,520,10745
AVENUE CITY SCHOOL DISTRICT R-9,179,2836
AVERILL PARK CSD,2686,61242
AVERY CO SCH,1998,27519
AVERY IND SCH DIST 902,340,4464
AVERY SCHOOL DISTRICT 394,18,546
AVILLA SCH DIST R 13,136,2255
AVINGER IND SCH DIST 902,153,1924
AVISTON SCHOOL DISTRICT 21,384,3845
AVOCA CENTRAL SCHOOL DISTRICT,457,14050
AVOCA SCHOOL DISTRICT 37,726,21787
AVON BORO SCH DIST,141,4852
AVON CENTRAL SCH DIST,1011,21151
AVON COMMUNITY SCHOOL CORPORATION,9766,132933
AVON ELEM DIST 29,15,296
AVON GROVE SCHOOL DISTRICT,4953,93184
AVON LAKE CITY SCH DIST,3789,49997
AVON LOCAL SCH DIST,4335,47182
AVON PUBLIC SCHOOLS,3138,73791
AVON SCHOOL DISTRICT 4-1,242,3275
AVON TOWN SCHS,728,13901
AVONDALE SCHOOL DISTRICT,3771,58041
AVONDALE SCHOOL DISTRICT 44,5717,63453
AVONWORTH UNION SCH DIST,1799,33389
AVOYELLES PARISH SCHOOL DISTRICT,5285,55209
AXTELL RURAL IND SCH DIST 918,825,10977
AXTELL SCH DIST 501,286,4554
AYER SHIRLEY REGIONAL SCHOOL DISTRICT,1712,35290
AYERS ELEM DIST 222,5,125
AYERSVILLE LOCAL SCH DIST,774,12538
AZLE IND SCH DIST 915,6578,72093
AZTEC SCHOOL DISTRICT,3002,35978
AZUSA UNIFIED SCHOOL DISTRICT,8010,138253
BABYLON UNION FREE SCH DIST,1601,52759
BACON CO SCH DIST,2141,25606
BAD AXE PUBLIC SCHOOLS,957,11872
BADGER IND SCH DIST 676,220,3322
BAGDAD UNIFIED SCHOOL DISTRICT 20,465,7812
BAGLEY SCH DISTRICT 162,1024,14173
BAILEYVILLE SCHOOL DEPARTMENT,319,6247
BAINBRIDGE GUILFORD CTL SCHOOL DIST,813,19229
BAINBRIDGE ISLAND SCHOOL DISTRICT 303,3822,70887
BAINVILLE K-12 SCHOOL DISTRICT,155,3948
BAIRD IND SCH DIST 903,283,4632
BAKER CO SCH DIST,281,5718
BAKER COUNTY SCHOOL DISTRICT,5060,47954
BAKER K-12 SCHOOL DISTRICT,441,8527
BAKER SCH DIST 5J,3825,43190
BAKER SCHOOL DISTRICT,1319,21590
BAKER VALLEY UNIF SCH DIST,134,2942
BAKERSFIELD ELEM SCH DIST,30782,481499
BAKERSFIELD SCH DIST R 4,358,5067
BAKERSFIELD TOWN SCH DIST,150,3065
BAKKER SCH DIST 10,11,337
BALD EAGLE AREA SCH DIST,1580,33798
BALD KNOB SCH DIST,1230,13614
BALDWIN CO SCH DIST,5137,63750
BALDWIN COMMUNITY SCHOOLS,515,25664
BALDWIN COUNTY SCHOOL DISTRICT,32267,397613
BALDWIN PARK UNIFIED SCHOOL DISTRICT,12541,227157
BALDWIN UNIFIED SCHOOL DISTRICT 348,1433,18613
BALDWIN UNION FREE SCH DIST,4625,133943
BALDWIN WHITEHALL SCH DIST,4364,73130
BALDWINSVILLE CTL SCHOOL DIST,5556,112359
BALDWIN-WOODVILLE JOINT SCHOOL DISTRICT 4,1745,23821
BALDWYN MUNIC SEP SCHOOL DIST,757,9205
BALKO SCHOOL DISTRICT 75,150,6922
BALL CHATHAM COMMUNITY UNIT SCHOOL DISTRICT 5,4763,49643
BALLARD CO SCH DIST,1259,17126
BALLARD COMMUNITY SCHOOL DISTRICT,1825,23499
BALLARD ELEM SCH DIST,132,2484
BALLARD SCH DIST R 2,115,1841
BALLICO CRESSEY ELEM SCH DIST,372,5778
BALLINGER IND SCH DIST 901,906,12537
BALLSTON SPA CTL SCHOOL DIST,4110,97149
BALMORHEA IND SCH DIST 902,186,5038
BALSZ SCHOOL DISTRICT 31,2341,27803
BALTIC SCHOOL DISTRICT 49-1,512,5499
BALTIMORE CITY SCHOOLS,79297,1691994
BALTIMORE COUNTY SCHOOLS,113814,1891725
BAMBERG COUNTY SCHOOL DISTRICT 1,1299,20177
BAMBERG COUNTY SCHOOL DISTRICT 2,671,13233
BANCROFT-ROSALIE CMNTY SCHOOL DIST 20,307,4615
BANDERA IND SCH DIST,2234,25465
BANDON SCH DIST 54,698,10582
BANGOR AREA SCH DIST,2973,58745
BANGOR CITY SCHOOLS,3705,54097
BANGOR PUBLIC SCHOOL DIST,1118,13875
BANGOR TOWNSHIP SCH DIST 8,21,193
BANGOR TOWNSHIP SCHOOLS,2541,27548
BANGOR UNION ELEMENTARY SCH DIST,98,1756
BANGOR VILLAGE JOINT SCHOOL DISTRICT 2,588,9679
BANGS IND SCH DIST 901,902,10247
BANKS CO SCH DIST,2750,34333
BANKS SCH DIST 13,1126,13488
BANNER SCH DIST 1,129,3640
BANNER SCH DIST 31,259,3397
BANNING UNIFIED SCH DIST,4617,75335
BANNOCKBURN SCHOOL DISTRICT 106,148,7661
BANQUETE IND SCH DIST 913,876,12795
BANTA ELEM SCH DIST,336,14599
BAR HARBOR TOWN SCHOOLS,337,7190
BARABOO SCHOOL DISTRICT,2972,42684
BARAGA AREA SCHOOLS,348,5612
BARBER COUNTY NORTH UNIFIED SCHOOL DISTRICT 254,512,6744
BARBERS HILL IND SCH DIST 902,5732,122512
BARBERTON CITY SCH DIST,3961,59438
BARBOUR CO SCH DIST,2346,25235
BARBOUR COUNTY SCHOOL DISTRICT,755,9978
BARBOURVILLE INDEPENDENT SCHOOL DISTRICT,698,7612
BARDSTOWN IND SCH DIST,2757,34530
BARK RIV HARRIS SCH DIST,743,7977
BARKER CENTRAL SCH DIST,792,15754
BARKHAMSTED TOWN SCHOOLS,226,5032
BARNARD CENTRAL SCH DIST,82,1346
BARNEGAT TWP SCH DIST,3159,69199
BARNES COUNTY NORTH SCHOOL DISTRICT 7,262,5435
BARNES UNIFIED SCHOOL DISTRICT 223,452,5393
BARNESVILLE EX VLG SCH DIST,1424,16282
BARNESVILLE IND SCHOOL DIST 146,868,10164
BARNEVELD JOINT SCHOOL DISTRICT 15,438,7216
BARNSDALL SCH DIST 29,423,4080
BARNSTABLE CITY SCHOOLS,4791,102181
BARNSTEAD SCHOOL DISTRICT,484,13692
BARNUM SCH DIST 91,714,9290
BARNWELL COUNTY SCHOOL DISTRICT 19,595,10327
BARNWELL COUNTY SCHOOL DISTRICT 45,2203,26464
BARRE CITY SCHS,892,12277
BARRE TOWN SCH DIST,817,10718
BARREN CO SCH DIST,5257,67494
BARRINGTON BORO SCH DIST,585,16701
BARRINGTON COMMUNITY UNIT SCHOOL DISTRICT 220,8602,213930
BARRINGTON SCH DIST,960,23678
BARRINGTON TWN SCHS,3343,56104
BARRON AREA SCHOOL DISTRICT,1241,22648
BARROW CO SCH DIST 607,14057,162407
BARR-REEVE COMMUNITY SCHOOL INC,935,11007
BARSTOW UNIFIED SCH DIST,6344,88649
BARSTOW UNIFIED UNION SCHOOL DISTRICT,222,4846
BARTELSO SCHOOL DISTRICT 57,173,1717
BARTHOLOMEW CONSOLIDATED SCHOOL CORPORATION,11530,153448
BARTLESVILLE SCH DIST 30,5971,57630
BARTLETT CITY SCHOOLS DISTRICT,9162,103771
BARTLETT IND SCH DIST 902,343,4565
BARTLETT TOWN SCH DIST,199,7859
BARTON INCORP SCH DIST,188,2428
BARTON-LEXA SCHOOL DIST,745,9564
BARTONVILLE SCHOOL DISTRICT 66,322,3686
BARTOW CO SCH DIST 608,13432,167767
BASEHOR-LINEWOOD UNIFIED SCHOOL DISTRICT 458,2730,39560
BASIN ELEM DIST 5,16,229
BASIN SCHOOL DISTRICT 72,338,3859
BASS LAKE JOINT UNION ELEMENTARY SCHOOL DISTRICT,891,11135
BASS RIVER TWP SCH DIST,106,2910
BASSETT UNIFIED SCHOOL DISTRICT,3520,65032
BASTROP IND SCH DIST 901,11081,126025
BATAVIA CITY SCH DIST,2283,51411
BATAVIA LOCAL SCH DIST,2308,28787
BATAVIA UNIT SCHOOL DISTRICT 101,5620,111319
BATESVILLE COMMUNITY SCHOOL CORPORATION,2181,26619
BATESVILLE SCH DIST,3277,35387
BATH CENTRAL SCH DIST,1495,43245
BATH CO SCH,543,10992
BATH CO SCH DIST,1994,25006
BATH COMMUNITY SCH DIST,1155,14479
BATH LOCAL SCH DIST,1747,20653
BATH TOWN SCH DIST,78,2647
BATTIEST SCH DIST 71,251,3692
BATTLE CREEK PUBLIC SCHOOLS,3910,68312
BATTLE CREEK SCH DIST 5,450,6915
BATTLE GROUND SCHOOL DISTRICT 119,13199,193023
BATTLE LAKE IND SCH DIST,428,5660
BAUGO COMMUNITY SCHOOLS,1859,23310
BAUXITE SCH DIST 14,1718,16023
BAXTER COMMUNITY SCHOOL DISTRICT,448,5724
BAXTER SPRINGS UNIFIED SCHOOL DISTRICT 508,982,13040
BAY CITY IND SCH DIST 901,3670,49850
BAY CITY SCH DIST,7504,87132
BAY COUNTY SCHOOL DISTRICT,28129,294603
BAY HEAD BORO SCH DIST,121,4305
BAY SCHOOL DISTRICT,622,6209
BAY SHORE UNION FREE SCHOOL DIST,6127,166196
BAY ST LOUIS-WAVELAND SCH DIST,1834,21455
BAY VILLAGE CITY SCH DIST,2502,40488
BAYARD CITY PUB SCH DIST 21,398,6508
BAYFIELD SCH DIST 10 JT,1371,21147
BAYFIELD SCHOOL DISTRICT,365,11422
BAYLESS SCH DIST,1715,20715
BAYONNE SCHOOL DISTRICT,9853,178893
BAYPORT-BLUE POINT UF SCH DIST,2172,72567
BAYSHORE ELEM SCH DIST,379,6663
BCLUW COMMUNITY SCHOOL DISTRICT,593,8547
BEACH HAVEN SCH DIST,55,2559
BEACH PARK COMMUNITY CONSOLIDATED SCHOOL DISTRICT 3,2107,42680
BEACH SCH DIST 3,284,5390
BEACHWOOD CITY SCH DIST,1615,41263
BEACON CITY SCH DIST,2991,73793
BEAL CITY PUBLIC SCHOOLS,684,7872
BEALS ELEMENTARY SCHOOL,65,980
BEAR LAKE SCHOOL DISTRICT 33,1211,10200
BEAR LAKE SCHOOLS,284,3677
BEAR PAW ELEM DIST 67,4,76
BEAR VALLEY UNIF SCHOOL DIST,2456,34805
BEARDEN SCH DIST 29,146,1412
BEARDEN SCH DIST 53,483,6014
BEARDSLEY ELEM SCH DIST,1915,29468
BEARDSTOWN COMMUNITY UNIT SCHOOL DISTRICT 15,1562,20712
BEATRICE SCH DIST 15,2151,25408
BEAUFORT CO SCH,6605,71286
BEAUFORT COUNTY SCHOOL DISTRICT 1,22235,347391
BEAUMONT IND SCH DISTRICT 910,18470,222864
BEAUMONT UNIFIED SCH DIST,10426,147597
BEAUREGARD PARISH SCHOOL DISTRICT,5874,68422
BEAVER AREA SCH DIST,2005,34172
BEAVER COUNTY SCHOOL DISTRICT,1567,20331
BEAVER CREEK SCHOOL DISTRICT 26,328,4564
BEAVER DAM SCHOOL DISTRICT,3508,49284
BEAVER ISLAND COMM SCHOOL DIST,49,2268
BEAVER LOCAL SCH DIST,1757,22494
BEAVER RIVER CENTRAL SCH DIST,905,17083
BEAVER SCH DIST 22,312,4262
BEAVERCREEK LOCAL SCH DIST,7963,104288
BEAVERHEAD CO HIGH SCHOOL DIST,307,5856
BEAVERTON RURAL SCH DIST,991,11994
BEAVERTON SCH DIST 48J,41070,588802
BECKER IND SCH DIST 726,2942,39463
BECKVILLE IND SCH DIST 901,700,9673
BEDFORD AREA SCHOOL DIST,1780,30938
BEDFORD CENTRAL SCHOOL DISTRICT,3913,138362
BEDFORD CITY SCH DIST,3245,55604
BEDFORD CO SCH DIST,8809,91453
BEDFORD CO SCH DIST,9632,111651
BEDFORD COMMUNITY SCHOOL DISTRICT,495,6927
BEDFORD PUBLIC SCH DIST,4324,46188
BEDFORD SCHOOL DISTRICT,4531,70506
BEDFORD TOWN SCH,2658,62736
BEDMINSTER TWP SCH DIST,517,19986
BEEBE SCH DIST,3375,33640
BEECH GROVE CITY SCHOOLS,3016,38581
BEECHER CITY COMMUNITY UNIT SCHOOL DISTRICT 20,327,5348
BEECHER COMMUNITY SCHOOL DISTRICT,755,11879
BEECHER COMMUNITY SCHOOL DISTRICT 200 U,1031,17116
BEECHER-DUNBAR-PEMBINE SCHOOL DISTRICT,233,4908
BEECHWOOD INDEPENDENT SCHOOL DISTRICT,1423,17494
BEEKMANTOWN CENTRAL SCH,2003,49102
BEEVILLE IND SCH DIST 901,3330,35711
BEGGS SCH DIST 4,1054,11384
BELCHERTOWN PUBLIC SCHOOLS,2267,38901
BELCOURT SCH DISTRICT 7,1657,28856
BELDING AREA SCHOOL DISTRICT,1777,23661
BELEN SCHOOL DISTRICT,3916,45669
BELFAST CENTRAL SCH DIST,350,10860
BELFIELD SCHOOL DISTRICT 13,257,4557
BELFONTE SCH DIST 50,172,2564
BELFRY K-12 SCHOOL DISTRICT,66,1681
BELGRADE ELEM SCH DIST 44,2429,26723
BELGRADE H S DIST 44,965,12738
BELGRADE-BROOTEN-ELROSA SCHOOL DISTRICT,655,8954
BELL CITY SCH DIST R 2,225,2902
BELL CO SCH DIST,2728,34891
BELLA VISTA ELEM SCH DT,363,4629
BELLAIRE CITY SCH DIST,1163,21175
BELLAIRE SCH DIST,356,5694
BELLE FOURCHE SCHOOL DISTRICT 9-1,1363,14049
BELLE PLAINE COMMUNITY SCHOOL DISTRICT,512,7943
BELLE PLAINE IND SCHOOL DIST 716,1627,22605
BELLE PLAINE UNIFIED SCHOOL DISTRICT 357,652,9166
BELLE VALLEY SCHOOL DISTRICT 119,1038,16813
BELLE VERNON AREA SCHOOL DIST,2418,40587
BELLEFONTAINE CITY SCHOOL DIST,2349,29323
BELLEFONTE AREA SCH DIST,2636,55128
BELLEVIEW ELEM SCH DIST,158,2286
BELLEVIEW SCH DIST R 3,120,1877
BELLEVILLE HENDERSON CENTRAL SCH,493,10422
BELLEVILLE SCH DIST,4544,88327
BELLEVILLE SCHOOL DISTRICT,887,13970
BELLEVILLE SCHOOL DISTRICT 118,3751,62726
BELLEVILLE TOWNSHIP HIGH SCHOOL DISTRICT 201,4675,90823
BELLEVUE CITY SCH DIST,1915,25958
BELLEVUE CITY SCH DIST 1,9807,111341
BELLEVUE COMM SCH DIST,600,8087
BELLEVUE COMMUNITY SCHOOL DISTRICT,786,9399
BELLEVUE IND SCH DIST 904,130,1969
BELLEVUE INDEP SCH DIST,661,9851
BELLEVUE SCHOOL DISTRICT 405,21609,453285
BELLEVUE UNION EL SCH D,1621,29333
BELLFLOWER UNIFIED SCHOOL DISTRICT,11671,172429
BELLINGHAM SCHOOL DISTRICT 501,11907,213987
BELLINGHAM TOWN SCHS,2223,47122
BELLMAWR BORO SCH DIST,1226,22630
BELLMORE UNION FREE SCH DIST,1050,33941
BELLMORE-MERRICK CTL HIGH SCHOOL DIST,5319,166430
BELLOWS FALLS UNION HIGH SCHOOL DIST 27,332,7193
BELLS IND SCH DIST 901,895,10931
BELLS TOWN SCHS,419,3991
BELLVILLE IND SCH DIST 901,2238,27616
BELLWOOD ANTIS SCHOOL DIST,1272,18965
BELLWOOD SCHOOL DISTRICT 88,2433,44922
BELMAR ELEM SCH DIST,471,15125
BELMOND-KLEMME SCHOOL DISTRICT,741,12305
BELMONT COMMUNITY SCHOOLS,384,5765
BELMONT TOWN SCH,4628,82948
BELMONT-REDWOOD SHORES ELEMENTARY SCHOOL DIST,4308,64313
BELOIT SCHOOL DISTRICT,6474,108151
BELOIT UNIFIED SCHOOL DISTRICT 273,817,17659
BELOIT-TURNER SCHOOL DISTRICT,1566,21657
BELPRE CITY SCH DIST,961,13012
BELRIDGE ELEM SCH DIST,36,852
BELT ELEM SCH DIST 29,226,2742
BELT HIGH SCHOOL DIST 29D,77,1783
BELTON IND SCH DIST 903,11885,136689
BELTON SCH DIST 124,4712,59212
BELVIDERE COMMUNITY UNIT SCHOOL DISTRICT 100,7843,145130
BELVIDERE SCH DIST,679,14326
BEMENT COMMUNITY UNIT SCHOOL DISTRICT 5,309,5416
BEMIDJI SCH DIST 31,5230,76564
BEMUS PT CENTRAL SCHOOL DIST,681,15686
BEN BOLT-PALITO BLANCO IND SCH DIST 902,515,7033
BEN HILL CO SCH DIST,3125,37884
BENAVIDES IND SCH DISTRICT 901,319,6126
BEND-LA PINE ADMIN SCH DIST 1,18390,249480
BENDLE PUBLIC SCHOOLS,1185,14705
BENGE SCHOOL DISTRICT 122,13,1207
BENICIA UNIFIED SCH DIST,4662,63606
BENJAMIN IND SCH DISTRICT 904,118,2138
BENJAMIN LOGAN LOCAL SCHOOL DIST,1708,22336
BENJAMIN SCHOOL DISTRICT 25,605,16193
BENNETT COMMUNITY SCHOOL DISTRICT,76,2791
BENNETT COUNTY HIGH SCHOOL DISTRICT 3-1,454,9351
BENNETT SCH DIST 29 J,1105,12756
BENNETT VALLEY UNION SCHOOL DIST,995,12130
BENNINGTON INC SCH DIST,1027,13436
BENNINGTON SCH DIST 59,2931,35284
BENNINGTON SCHOOL DIST 40,344,4128
BENSALEM TWP SCH DIST,6505,156095
BENSENVILLE SCHOOL DISTRICT 2,2205,46963
BENSON SCH DIST 777,838,12248
BENSON UNIFIED SCHOOL DISTRICT,1288,13277
BENTLEY COMM SCHOOL DIST,836,9769
BENTON AREA SCHOOL DIST,644,13120
BENTON CO SCH SYSTEM,2218,23878
BENTON COMMUNITY CONSOLIDATED SCHOOL DISTRICT 47,1140,15275
BENTON COMMUNITY SCHOOL CORPORATION,1757,25332
BENTON COMMUNITY SCHOOL DISTRICT,1619,19808
BENTON CONSOLIDATED HIGH SCHOOL DISTRICT 103,576,9408
BENTON COUNTY SCHOOL DISTRICT,1098,12139
BENTON HARBOR AREA SCHS,1941,28379
BENTON JOINT SCHOOL DISTRICT 1,200,4054
BENTON LAKE ELEM DIST 99,7,161
BENTON SCH DIST 8,5645,58384
BENTON-CARROLL-SALEM LOCAL SCH DIST,1516,21993
BENTONVILLE SCH DIST 6,17225,207454
BENTWORTH SCH DIST,1138,18981
BENZIE CO CENTRAL SCHOOLS,1414,18014
BEREA CITY SCH DIST,6118,97811
BEREA IND SCH DIST,1119,15410
BERESFORD SCHOOL DISTRICT 61-2,693,7699
BERGEN COUNTY VOCATIONAL SCHOOL,2219,98217
BERGENFIELD BORO SCH DIST,3572,77111
BERGMAN SCH DIST 3,1174,10382
BERING STRAIT REGIONAL EDUCATIONAL ATTENDANCE AREA (REAA),1973,71196
BERKELEY CO SCH DIST,19530,231750
BERKELEY HEIGHTS SCH DIST,2582,62320
BERKELEY SCHOOL DISTRICT 87,2473,48741
BERKELEY TWP SCH DIST,2312,43992
BERKELEY UNIFIED SCH DIST,9811,213126
BERKLEY COUNTY SCHOOL DISTRICT,36135,448524
BERKLEY SCHOOL DISTRICT,4360,75527
BERKLEY TOWN SCHS,888,13654
BERKSHIRE HILLS REGIONAL SCHOOL DISTRICT,1203,33768
BERKSHIRE LOCAL SCH DIST,1284,22472
BERKSHIRE TOWN SCH DIST,210,4103
BERLIN AREA JOINT SCHOOL DISTRICT,1644,22176
BERLIN BOROUGH BOARD OF EDUCATN,816,15071
BERLIN BROTHERS VALLEY SCHOOL DIST,719,12439
BERLIN CENTRAL SCH DIST,709,21337
BERLIN CITY SCHOOL DISTRICT,1159,21410
BERLIN PUBLIC SCHOOLS,2787,64031
BERLIN TOWN SCH DIST,216,3853
BERLIN TOWN SCHS,183,51
BERLIN TOWNSHIP SCH DIST 3,8,168
BERLIN TWP SCH DIST,629,18222
BERLIN-BOYLSTON REG H SCH DIST,583,12944
BERMUDIAN SPRINGS SCHOOL DIST,1921,31651
BERNALILLO SCHOOL DISTRICT,2831,43093
BERNARDS TWP SCH DIST,5327,121193
BERNE KNOX-WESTERLO CENTRAL SCH DIST,779,22329
BERNE UNION SCH DIST,830,12137
BERNIE SCHOOL DIST R 13,535,5615
BERRIEN CO SCH DIST,3161,34931
BERRIEN SPRINGS PUBLIC SCHOOLS,3827,51639
BERRYESSA UNION ELEM SCH DIST,6988,92111
BERRYHILL SCH DIST 10,1221,11100
BERRYVILLE SCH DIST,1929,24737
BERTHA HEWITT SCH DIST 786,494,7652
BERTIE CO SCH,2209,28056
BERTRAND SCH DIST 54,252,4574
BERWICK AREA SCH DIST,2781,47478
BERWYN NORTH SCHOOL DISTRICT 98,2862,55757
BERWYN SCHOOL DISTRICT 100,3644,69291
BESSEMER AREA SCHOOL DISTRICT,408,4351
BESSEMER CITY SCHOOL DISTRICT,3618,43685
BETHALTO COMMUNITY UNIT SCHOOL DISTRICT 8,2427,34451
BETHANY COMMUNITY SCHOOLS,364,8196
BETHANY SCH DIST 88,1709,15684
BETHEL LOCAL SCH DIST,1462,16218
BETHEL PARK SCH DIST,4065,89739
BETHEL SCH DIST 3,1222,11421
BETHEL SCHOOL DIST 52,5633,74657
BETHEL SCHOOL DISTRICT 403,20130,308403
BETHEL SCHOOL DISTRICT 82,184,2416
BETHEL TATE LOCAL SCH DIST,1514,18117
BETHEL TOWN SCHOOLS,3102,62615
BETHLEHEM AREA SCH DIST,13644,295744
BETHLEHEM CENTER SCHOOL DIST,1155,20541
BETHLEHEM CENTRAL SCH,4478,103128
BETHLEHEM TOWN SCH DIST,140,3270
BETHLEHEM TWP SCH DIST,358,10804
BETHPAGE UF SCH DIST,2977,87523
BETHUNE SCH DIST R 5,105,2001
BETTENDORF COMMMUNITY SCHOOL DISTRICT,4961,61759
BEULAH SCH DIST 27,737,9163
BEVERLY CITY SCH,4565,89712
BEVERLY CITY SCHOOL DISTRICT,314,8536
BEVERLY HILLS UNIFIED SCHOOL DISTRICT,3773,116384
BEVIER SCH DIST C 4,199,2327
BEXLEY CITY SCH DIST,2473,40463
BIBB CO SCH DIST,23877,323368
BIBB COUNTY SCHOOL DISTRICT,3236,34923
BICENTENNIAL UNION HIGH SCHOOL DISTRICT 76,123,2027
BICKLETON SCHOOL DISTRICT 203,114,3426
BIDDEFORD CITY SCHOOLS,2439,42526
BIDDLE ELEM DIST 6,7,138
BIENVILLE PARISH SCHOOL DISTRICT,2157,40783
BIG BAY DE NOC SCH DIST,165,2631
BIG BEAVER FALLS AREA SCHOOL DIST,1710,31533
BIG CREEK ELEM SCH DIST,45,1889
BIG FOOT HIGH SCHOOL DISTRICT,489,10792
BIG FORK DISTRICT 38,317,5423
BIG HOLLOW SCHOOL DISTRICT 38,1743,28257
BIG HORN CO SCH DIST 1,1090,19880
BIG HORN CO SCH DIST 4,254,26873
BIG HORN CO SCHOOL DIST 2,697,14137
BIG JACKSON SCHOOL DISTRICT,25,339
BIG LAGOON ELEM SCH DIST,19,611
BIG LAKE IND SCH DIST 727,3056,43914
BIG OAK FLAT-GROVELAND UNIFIED SCHOOL DIST,304,7251
BIG PASTURE SCH DIST 333,195,2273
BIG PINE UNI SCH DIST,136,4392
BIG RAPIDS PUBLIC SCHOOL DIST,2061,24590
BIG SANDY HIGH SCH DIST 2,178,2848
BIG SANDY IND SCH DIST 901,513,6956
BIG SANDY IND SCH DIST 901,708,11011
BIG SANDY SCH DIST 100J,321,4676
BIG SPRING IND SCH DIST 901,4035,54028
BIG SPRING SCHOOL DIST,2531,53307
BIG SPRINGS ELEM SCH DIST,182,2641
BIG STONE CITY SCHOOL DISTRICT 25-1,67,1864
BIG SUR UNIFIED SCHOOL DISTRICT,116,1579
BIG TIMBER ELEM DIST 1,319,2998
BIG VALLEY JOINT UNIFIED SCHOOL DISTRICT,127,2524
BIG WALNUT LOCAL SCH DIST,3768,60214
BIGFORK SCHOOL DIST 38,570,6235
BIGGS UNIFIED SCH DIST,624,8496
BIGHORN CO SCH DIST 3,466,11017
BILLERICA TOWN SCH,4764,121138
BILLINGS ELEM SCH DIST 2,11453,129272
BILLINGS H S DIST 2,5505,67180
BILLINGS SCH DIST 1,85,3495
BILLINGS SCH DIST 2,70,1848
BILLINGS SCH DIST R 4,412,4283
BILOXI PUBLIC SCHOOL DIST,6243,71898
BINGER-ONEY SCHOOL DIST 168,338,4065
BINGHAMTON CITY SCH DIST,5451,134154
BIRCH RUN AREA SCHOOLS,1870,19972
BIRCHWOOD JOINT SCHOOL DISTRICT 4,292,6114
BIRD ISLAND-OLIVA ISD 2534,684,9235
BIRDVILLE IND SCH DIST 902,23614,282214
BIRMINGHAM CITY SCHOOL DISTRICT,23041,299766
BIRMINGHAM PUBLIC SCHOOLS,8045,158546
BIRNEY ELEM DIST 3,4,140
BISBEE UNIFIED SCHOOL DISTRICT 2,697,10165
BISHOP CONS IND SCH DIST 902,1524,21799
BISHOP SCH DIST 49,584,4731
BISHOP UNIFIED SCHOOL DISTRICT,1978,25464
BISMARCK COMMUNITY UNIT SCHOOL DISTRICT 1,593,15615
BISMARCK SCH DIST,1016,10806
BISMARCK SCH DIST 1,13209,188612
BISMARCK SCH DIST R 5,501,5230
BISON SCHOOL DISTRICT 52-1,145,4566
BITTERWATER TULLY UNION SCH DIST,35,446
BIXBY SCH DIST 4,6661,66514
BLACHLY SCH DIST 90,234,4050
BLACK BUTTE SCH DIST 41,31,553
BLACK BUTTE UNION SCH DIST,210,3208
BLACK HAWK SCHOOL DISTRICT,383,5823
BLACK HORSE PIKE REG SCH DIST,3640,85618
BLACK OAK MINE UNIF SCH DIST,1249,16245
BLACK RIVER FALLS SCHOOL DISTRICT,1742,25361
BLACK RIVER SCH DIST,1141,16571
BLACKDUCK IND SCH DIST 32,674,9591
BLACKFOOT SCHOOL DISTRICT 55,3863,32138
BLACKFORD COUNTY SCHOOLS,1586,19442
BLACKHAWK SCH DIST,2322,39712
BLACKLICK VALLEY SCHOOL DISTRICT,641,11385
BLACKSTONE VALLEY REG VOC SCHOOL DIST,1230,28623
BLACKSTONE-MILLVILLE REG SCH DT,1699,28821
BLACKWATER SCH DIST R-2,105,1493
BLACKWELL IND SCH DIST 903,152,11347
BLACKWELL SCH DIST 45,1207,13039
BLADEN COUNTY SCHOOLS,4351,53165
BLAINE COUNTY SCHOOL DISTRICT 61,3467,63708
BLAINE SCHOOL DISTRICT 503,2300,39951
BLAIR PUB SCHOOL DIST 1,2294,27494
BLAIR SCH DIST 54,259,2723
BLAIRSTOWN TWP SCH DIST,466,10625
BLAIRSVILLE SALTSBURG SCHOOL DIST,1530,32940
BLAIR-TAYLOR SCHOOL DISTRICT,614,9931
BLAKE ELEM SCH DIST,13,247
BLANCHARD SCH DIST 29,2058,18701
BLANCHESTER LOCAL SCHOOL DIST,1493,18523
BLANCO IND SCH DIST 902,1011,14109
BLAND CO SCH DIVISION,736,8909
BLAND IND SCH DIST 915,721,9105
BLANKET I. S. DISTRICT 904,167,2453
BLECKLEY CO SCH DIST,2568,28678
BLEDSOE CO SCH DIST,1725,19709
BLEVINS SCH DIST,510,5410
BLIND BROOK-RYE UF SCH DIST,1442,45125
BLISS SCHOOL DISTRICT 234,138,2068
BLISSFIELD COMM SCH DIST,1209,13273
BLOCHMAN UNION ELEM SCH DIST,212,3928
BLOOM CARROLL SCH DIST,2052,27915
BLOOM TOWNSHIP HIGH SCHOOL DISTRICT 206,2917,74572
BLOOMBURG IND SCH DIST 909,272,3193
BLOOMER SCHOOL DISTRICT,1279,18297
BLOOMFIELD CITY SCH DIST 586,262,4761
BLOOMFIELD ELEM DIST 30,6,215
BLOOMFIELD HILLS SCHOOLS,5470,116579
BLOOMFIELD SCH DIST R-14,671,6401
BLOOMFIELD SCHOOL DISTRICT,835,9703
BLOOMFIELD SCHOOL DISTRICT,2762,40245
BLOOMFIELD TOWN SCH DIST,6424,127331
