FID,AID,Year,Julianday,Hour,Minute,Activity,Temperatur,Latitude,Longitude,HDOP,NumSats,FixTime,2D_3D,POINT_X,POINT_Y
119,31351,2013,148,9,0,29,19,59.324140000000000,-122.282850000000000,1.200000000000000,5,22,3,540813.509293999990000,6576365.784559999600000
120,31351,2013,148,9,30,26,19,59.326560000000001,-122.285940000000000,2.200000000000000,4,42,3,540634.771008000010000,6576633.367429999600000
121,31351,2013,148,10,1,26,19,59.333159999999999,-122.282960000000000,2.400000000000000,4,53,3,540796.437400000050000,6577370.112789999700000
122,31351,2013,148,10,32,36,19,59.340840000000000,-122.279730000000000,4.500000000000000,3,120,2,540970.957675999960000,6578227.280159999600000
123,31351,2013,148,11,1,39,20,59.347650000000002,-122.276410000000000,2.200000000000000,4,95,3,541151.564929999990000,6578987.635959999600000
124,31351,2013,148,11,30,63,22,59.350349999999999,-122.275160000000000,1.600000000000000,4,22,3,541219.380067000050000,6579289.060250000100000
125,31351,2013,148,12,0,27,22,59.354250000000000,-122.276200000000000,1.400000000000000,4,32,3,541155.520033000040000,6579722.691329999800000
126,31351,2013,148,12,30,19,23,59.356900000000003,-122.285259999999990,1.600000000000000,4,27,3,540637.211040999970000,6580012.211590000400000
127,31351,2013,148,13,0,17,26,59.356369999999998,-122.285079999999990,1.300000000000000,7,37,3,540648.078450000030000,6579953.304580000200000
128,31351,2013,148,13,30,0,27,59.356319999999997,-122.285070000000000,1.400000000000000,7,22,3,540648.706777999990000,6579947.743060000200000
129,31351,2013,148,16,2,1,26,59.356310000000001,-122.285090000000000,3.400000000000000,4,112,3,540647.581622999980000,6579946.617329999800000
130,31351,2013,148,16,30,13,25,59.356569999999998,-122.284899999999990,1.400000000000000,5,47,3,540658.073270000050000,6579975.684980000400000
131,31351,2013,148,17,0,11,25,59.357300000000002,-122.286880000000000,1.300000000000000,5,22,3,540544.629729000040000,6580055.765169999600000
132,31351,2013,148,17,30,29,23,59.359299999999998,-122.286230000000000,1.600000000000000,4,32,3,540579.197614999950000,6580278.866310000400000
133,31351,2013,148,18,0,16,20,59.362160000000003,-122.283270000000000,1.900000000000000,5,47,3,540744.047277000030000,6580599.142260000100000
134,31351,2013,148,18,30,17,19,59.362259999999999,-122.282660000000010,1.800000000000000,5,22,3,540778.603202000030000,6580610.650919999900000
135,31351,2013,148,19,0,24,16,59.365119999999997,-122.275870000000000,1.800000000000000,5,22,3,541161.120957999960000,6580933.297059999800000
136,31351,2013,148,19,30,11,18,59.364260000000002,-122.270039999999990,2.800000000000000,5,23,3,541493.552050999950000,6580841.152210000000000
137,31351,2013,148,20,0,19,17,59.363599999999998,-122.267630000000000,2.000000000000000,5,34,3,541631.349869000030000,6580769.163809999800000
138,31351,2013,148,20,31,51,16,59.364170000000001,-122.257679999999990,2.200000000000000,5,74,3,542196.231911999990000,6580838.897669999900000
139,31351,2013,148,21,0,23,15,59.363030000000002,-122.243889999999990,1.300000000000000,6,37,3,542981.526641999950000,6580720.775910000300000
140,31351,2013,148,21,30,6,16,59.363700000000001,-122.244040000000000,1.200000000000000,5,27,3,542972.153039000000000,6580795.285059999700000
141,31351,2013,148,22,0,1,24,59.364030000000000,-122.243399999999990,1.600000000000000,4,22,3,543008.114956000000000,6580832.444480000100000
142,31351,2013,148,22,30,1,27,59.363889999999998,-122.243020000000000,2.500000000000000,4,52,3,543029.892269999950000,6580817.100669999600000
143,31351,2013,148,23,2,0,30,59.364170000000001,-122.243330000000000,0.000000000000000,1,120,2,543011.916766999990000,6580848.078999999900000
144,31351,2013,149,0,0,3,24,59.364100000000001,-122.243219999999990,1.300000000000000,6,37,3,543018.257988000060000,6580840.355399999800000
145,31351,2013,149,0,30,2,25,59.364049999999999,-122.243250000000000,1.200000000000000,6,22,3,543016.615997000020000,6580834.768410000000000
146,31351,2013,149,1,0,4,25,59.364080000000001,-122.243250000000000,1.300000000000000,5,22,3,543016.578031999990000,6580838.108980000000000
147,31351,2013,149,1,30,2,29,59.364030000000000,-122.243270000000000,1.400000000000000,7,47,3,543015.504460999970000,6580832.528450000100000
148,31351,2013,149,2,1,1,29,59.364080000000001,-122.243290000000000,2.100000000000000,7,70,3,543014.304342000050000,6580838.083139999800000
149,31351,2013,149,2,30,1,26,59.364069999999998,-122.243270000000000,2.100000000000000,6,22,3,543015.453841999990000,6580836.982529999700000
150,31351,2013,149,3,0,0,30,59.364060000000002,-122.243170000000010,2.100000000000000,4,22,3,543021.150724999960000,6580835.933620000300000
151,31351,2013,149,3,30,0,30,59.364190000000001,-122.243460000000000,2.200000000000000,5,32,3,543004.501991000030000,6580850.222070000100000
152,31351,2013,149,4,0,0,32,59.364100000000001,-122.243280000000000,1.900000000000000,5,46,3,543014.847455000040000,6580840.316639999900000
153,31351,2013,149,4,30,6,29,59.364019999999996,-122.243300000000000,1.300000000000000,6,22,3,543013.811845000020000,6580831.395549999500000
154,31351,2013,149,5,0,8,22,59.364759999999997,-122.243129999999990,1.700000000000000,5,27,3,543022.538415999970000,6580913.905989999900000
155,31351,2013,149,5,30,14,19,59.367500000000000,-122.241280000000000,1.600000000000000,5,33,3,543124.217871999950000,6581220.207770000200000
156,31351,2013,149,6,0,35,16,59.367950000000000,-122.228160000000000,2.200000000000000,6,38,3,543869.331654999990000,6581278.886810000100000
157,31351,2013,149,6,30,62,17,59.369280000000003,-122.213200000000000,1.400000000000000,6,22,3,544717.842763999940000,6581436.936610000200000
158,31351,2013,149,7,0,17,18,59.369349999999997,-122.202160000000010,1.900000000000000,5,22,3,545345.189323000030000,6581452.197669999700000
159,31351,2013,149,7,30,42,17,59.373570000000001,-122.196800000000000,2.600000000000000,5,22,3,545644.146346000020000,6581925.764449999700000
160,31351,2013,149,8,0,13,20,59.374209999999998,-122.194740000000000,3.200000000000000,4,22,3,545760.346126000050000,6581998.443579999700000
161,31351,2013,149,8,31,31,21,59.373739999999998,-122.192840000000000,1.600000000000000,5,57,3,545868.948088999950000,6581947.415670000000000
162,31351,2013,149,9,0,29,20,59.377189999999999,-122.191230000000000,1.500000000000000,5,22,3,545955.770867999990000,6582332.689349999700000
163,31351,2013,149,9,30,9,22,59.377899999999997,-122.189970000000000,2.100000000000000,5,27,3,546026.402140000020000,6582412.619459999700000
164,31351,2013,149,10,0,8,25,59.378200000000000,-122.188779999999990,2.700000000000000,4,22,3,546093.609459999950000,6582446.848249999800000
165,31351,2013,149,10,30,40,25,59.374250000000004,-122.184650000000000,2.200000000000000,5,43,3,546333.655470000000000,6582009.875830000300000
166,31351,2013,149,11,0,5,24,59.371369999999999,-122.179400000000000,2.000000000000000,5,27,3,546635.938468000040000,6581692.848709999600000
167,31351,2013,149,11,30,26,25,59.371409999999997,-122.178100000000000,1.500000000000000,5,23,3,546709.762018000010000,6581698.214040000000000
168,31351,2013,149,12,0,4,27,59.371440000000000,-122.178030000000010,1.700000000000000,6,42,3,546713.698847000020000,6581701.603690000300000
169,31351,2013,149,12,30,11,28,59.371440000000000,-122.177980000000010,1.600000000000000,5,23,3,546716.540323000050000,6581701.638770000100000
170,31351,2013,149,13,1,0,30,59.371450000000003,-122.178030000000010,1.700000000000000,5,62,3,546713.685100000000000,6581702.717199999800000
171,31351,2013,149,13,30,1,29,59.371530000000000,-122.178020000000000,1.400000000000000,6,23,3,546714.143417999960000,6581711.632340000000000
172,31351,2013,149,14,0,1,29,59.371499999999997,-122.178160000000010,2.500000000000000,5,38,3,546706.228541000050000,6581708.193579999700000
173,31351,2013,149,14,30,1,30,59.371409999999997,-122.178079999999990,2.100000000000000,5,32,3,546710.898609000030000,6581698.228070000200000
174,31351,2013,149,15,0,48,26,59.371360000000003,-122.177650000000000,2.000000000000000,5,47,3,546735.404088999960000,6581692.962240000300000
175,31351,2013,149,15,30,0,29,59.371490000000001,-122.177650000000000,1.500000000000000,5,31,3,546735.225297000030000,6581707.437930000000000
176,31351,2013,149,16,0,1,30,59.371479999999998,-122.177570000000000,3.300000000000000,4,22,3,546739.785405999980000,6581706.380570000000000
177,31351,2013,149,16,31,24,25,59.372000000000000,-122.176080000000000,3.400000000000000,4,88,3,546823.744739999990000,6581765.330219999900000
178,31351,2013,149,17,1,22,23,59.373719999999999,-122.172760000000000,2.300000000000000,4,92,3,547010.035890000060000,6581959.194149999900000
179,31351,2013,149,17,31,31,21,59.372900000000001,-122.173970000000000,2.700000000000000,4,88,3,546942.409661000010000,6581867.032259999800000
180,31351,2013,149,18,2,42,22,59.372549999999997,-122.173500000000000,2.100000000000000,3,120,2,546969.602170999980000,6581828.390719999600000
181,31351,2013,149,18,31,25,23,59.372650000000000,-122.173590000000000,1.800000000000000,5,101,3,546964.349472000030000,6581839.462369999800000
182,31351,2013,149,19,0,47,22,59.372579999999999,-122.173400000000000,1.900000000000000,5,42,3,546975.243461000030000,6581831.801810000100000
183,31351,2013,149,19,30,34,20,59.372500000000002,-122.172880000000010,3.800000000000000,4,27,3,547004.904467000040000,6581823.260680000300000
184,31351,2013,149,20,1,39,20,59.372540000000001,-122.172569999999990,2.000000000000000,5,92,3,547022.465702999970000,6581827.933629999900000
185,31351,2013,149,20,30,33,23,59.372549999999997,-122.171530000000000,2.500000000000000,5,34,3,547081.552589999980000,6581829.782089999900000
186,31351,2013,149,21,0,7,19,59.372000000000000,-122.173419999999990,2.700000000000000,5,22,3,546974.908706999970000,6581767.203870000300000
187,31351,2013,149,21,30,3,19,59.371890000000000,-122.174880000000000,1.800000000000000,6,47,3,546892.090812999990000,6581753.926070000000000
188,31351,2013,149,22,0,16,18,59.372019999999999,-122.175940000000000,1.900000000000000,5,27,3,546831.673176000010000,6581767.655709999600000
189,31351,2013,149,22,30,40,19,59.372709999999998,-122.175479999999990,1.700000000000000,5,47,3,546856.862813999990000,6581844.811850000200000
190,31351,2013,149,23,2,2,25,59.372660000000003,-122.175490000000000,1.500000000000000,4,120,2,546856.363488000000000,6581839.237239999700000
191,31351,2013,149,23,31,5,25,59.372660000000003,-122.175550000000000,1.900000000000000,4,73,3,546852.953840999980000,6581839.195020000500000
192,31351,2013,150,0,2,2,28,59.372630000000001,-122.175510000000000,1.000000000000000,6,120,2,546855.268307000050000,6581835.882620000300000
193,31351,2013,150,0,30,2,25,59.372610000000002,-122.175560000000000,1.100000000000000,7,27,3,546852.454508000050000,6581833.620410000000000
194,31351,2013,150,1,0,0,28,59.372619999999998,-122.175510000000000,0.900000000000000,7,22,3,546855.282096000040000,6581834.769109999800000
195,31351,2013,150,1,30,1,26,59.372529999999998,-122.175370000000000,2.000000000000000,5,22,3,546863.362073000050000,6581824.846010000400000
196,31351,2013,150,2,1,3,29,59.372570000000003,-122.175550000000000,2.200000000000000,7,101,3,546853.077936999970000,6581829.173390000100000
197,31351,2013,150,2,30,0,30,59.372709999999998,-122.175590000000000,1.800000000000000,5,32,3,546850.611802999980000,6581844.734450000300000
198,31351,2013,150,3,0,2,28,59.372650000000000,-122.175510000000000,3.600000000000000,5,22,3,546855.240727999950000,6581838.109650000000000
199,31351,2013,150,3,30,48,21,59.372790000000002,-122.175680000000000,2.900000000000000,5,22,3,546845.387048000000000,6581853.579239999900000
200,31351,2013,150,4,0,3,21,59.372810000000001,-122.175700000000010,1.200000000000000,7,37,3,546844.222931000050000,6581855.792200000000000
